"Shopify Domain","Job ID","Sheet","Started At","Finished At","Duration","Seconds per Item","Exported","Column Groups","Columns","Filters"
"usbmd.myshopify.com","561135063","Products","2025-11-11 07:54:21 -0800","2025-11-11 08:16:28 -0800","00:22:07","3.081","430","Base, Category, Collections, Images, Variants, Variant Cost, Customs Information, Inventory Levels, Pricing By Markets, Metafields, Variant Metafields","ID, Handle, Command, Title, Body HTML, Vendor, Type, Tags, Tags Command, Created At, Updated At, Status, Published, Published At, Published Scope, Template Suffix, Gift Card, URL, Total Inventory Qty, Row #, Top Row, Category: ID, Category: Name, Category, Custom Collections, Smart Collections, Image Type, Image Src, Image Command, Image Position, Image Width, Image Height, Image Alt Text, Variant Inventory Item ID, Variant ID, Variant Command, Option1 Name, Option1 Value, Option2 Name, Option2 Value, Option3 Name, Option3 Value, Variant Position, Variant SKU, Variant Barcode, Variant Image, Variant Weight, Variant Weight Unit, Variant Price, Variant Compare At Price, Variant Taxable, Variant Tax Code, Variant Inventory Tracker, Variant Inventory Policy, Variant Fulfillment Service, Variant Requires Shipping, Variant Shipping Profile, Variant Inventory Qty, Variant Inventory Adjust, Variant Cost, Variant HS Code, Variant Country of Origin, Variant Province of Origin, Inventory Available: ..., Inventory Available Adjust: ..., Inventory On Hand: ..., Inventory On Hand Adjust: ..., Inventory Committed: ..., Inventory Reserved: ..., Inventory Damaged: ..., Inventory Damaged Adjust: ..., Inventory Safety Stock: ..., Inventory Safety Stock Adjust: ..., Inventory Quality Control: ..., Inventory Quality Control Adjust: ..., Inventory Incoming: ..., Included / ..., Price / ..., Compare At Price / ..., Metafield: ..., Variant Metafield: ...",""
"usbmd.myshopify.com","561135063","Smart Collections","2025-11-11 08:16:28 -0800","2025-11-11 08:17:16 -0800","00:00:48","0.395","119","Base, Rules, Metafields","ID, Handle, Command, Title, Body HTML, Sort Order, Template Suffix, Updated At, Published, Published At, Published Scope, Image Src, Image Width, Image Height, Image Alt Text, Row #, Top Row, Must Match, Rule: Product Column, Rule: Relation, Rule: Condition, Metafield: ...",""
"usbmd.myshopify.com","561135063","Custom Collections","2025-11-11 08:17:17 -0800","2025-11-11 08:17:21 -0800","00:00:04","0.706","5","Base, Linked Products, Metafields","ID, Handle, Command, Title, Body HTML, Sort Order, Template Suffix, Updated At, Published, Published At, Published Scope, Image Src, Image Width, Image Height, Image Alt Text, Row #, Top Row, Product: ID, Product: Handle, Product: Position, Product: Command, Metafield: ...",""
"usbmd.myshopify.com","561135063","Pages","2025-11-11 08:17:21 -0800","2025-11-11 08:17:32 -0800","00:00:11","0.21","50 of 151","Base, Metafields","ID, Handle, Command, Title, Body HTML, Created At, Updated At, Published, Published At, Template Suffix, Metafield: ...",""
"usbmd.myshopify.com","561135063","Blog Posts","2025-11-11 08:17:32 -0800","2025-11-11 08:17:46 -0800","00:00:14","0.487","27","Base, Blogs, Comments, Metafields","ID, Handle, Command, Title, Author, Body HTML, Summary HTML, Tags, Tags Command, Created At, Updated At, Published, Published At, Template Suffix, Image Src, Image Width, Image Height, Image Alt Text, Blog: ID, Blog: Handle, Blog: Title, Blog: Commentable, Blog: Feedburner URL, Blog: Feedburner Path, Blog: Template Suffix, Blog: Created At, Blog: Updated At, Row #, Top Row, Comment: ID, Comment: Author, Comment: Body, Comment: Body HTML, Comment: Email, Comment: Status, Comment: IP, Comment: Browser, Comment: Created At, Comment: Updated At, Comment: Published At, Comment: Command, Metafield: ...",""
"usbmd.myshopify.com","561135063","Files","2025-11-11 08:17:46 -0800","2025-11-11 08:17:57 -0800","00:00:10","0.005","2052","Base","ID, File Name, Command, Link, Alt Text, Created At, Type, Mime Type, Width, Height, Duration, Status, Errors",""
"usbmd.myshopify.com","561135063","Metaobjects","2025-11-11 08:17:57 -0800","2025-11-11 08:17:58 -0800","00:00:01","0.015","50 of 814","Base, Field Values","ID, Handle, Command, Display Name, Status, Updated At, Definition: Handle, Definition: Name, Top Row, Row #, Field, Value",""
"usbmd.myshopify.com","561135063","Menus","2025-11-11 08:17:58 -0800","2025-11-11 08:18:14 -0800","00:00:16","0.836","18","Base, Menu Items","ID, Handle, Command, Title, Is Default, Top Row, Row #, Menu Item: ID, Menu Item: Title, Menu Item: Command, Menu Item: Resource Type, Menu Item: Resource ID, Menu Item: Resource Handle, Menu Item: Collection Tags, Menu Item: URL, Menu Item: Parent ID, Menu Item: Parent Title, Menu Item: Position",""
