ID,Handle,Command,Display Name,Status,Updated At,Definition: Handle,Definition: Name,Top Row,Row #,Field,Value
204982157677,ribbon-red-estate-blue,MERGE,Ribbon Red/Estate Blue,,2024-12-19 12:48:07 -0700,shopify--color-pattern,Color,true,36,label,Ribbon Red/Estate Blue
204982157677,ribbon-red-estate-blue,MERGE,Ribbon Red/Estate Blue,,2024-12-19 12:48:07 -0700,shopify--color-pattern,Color,,37,color,#F61F1F
204982157677,ribbon-red-estate-blue,MERGE,Ribbon Red/Estate Blue,,2024-12-19 12:48:07 -0700,shopify--color-pattern,Color,,38,image,
204982157677,ribbon-red-estate-blue,MERGE,Ribbon Red/Estate Blue,,2024-12-19 12:48:07 -0700,shopify--color-pattern,Color,,39,color_taxonomy_reference,gid://shopify/TaxonomyValue/13
204982157677,ribbon-red-estate-blue,MERGE,Ribbon Red/Estate Blue,,2024-12-19 12:48:07 -0700,shopify--color-pattern,Color,,40,pattern_taxonomy_reference,gid://shopify/TaxonomyValue/2874
201940959597,brown,MERGE,Brown,,2024-11-04 10:37:49 -0700,shopify--color-pattern,Color,true,41,label,Brown
201940959597,brown,MERGE,Brown,,2024-11-04 10:37:49 -0700,shopify--color-pattern,Color,,42,color,#9A5630
201940959597,brown,MERGE,Brown,,2024-11-04 10:37:49 -0700,shopify--color-pattern,Color,,43,image,
201940959597,brown,MERGE,Brown,,2024-11-04 10:37:49 -0700,shopify--color-pattern,Color,,44,color_taxonomy_reference,gid://shopify/TaxonomyValue/7
201940959597,brown,MERGE,Brown,,2024-11-04 10:37:49 -0700,shopify--color-pattern,Color,,45,pattern_taxonomy_reference,gid://shopify/TaxonomyValue/2874
80216359083,ribbon-red,MERGE,Ribbon Red,,2024-07-09 10:10:55 -0600,shopify--color-pattern,Color,true,46,label,Ribbon Red
80216359083,ribbon-red,MERGE,Ribbon Red,,2024-07-09 10:10:55 -0600,shopify--color-pattern,Color,,47,color,#F61F1F
80216359083,ribbon-red,MERGE,Ribbon Red,,2024-07-09 10:10:55 -0600,shopify--color-pattern,Color,,48,image,
80216359083,ribbon-red,MERGE,Ribbon Red,,2024-07-09 10:10:55 -0600,shopify--color-pattern,Color,,49,color_taxonomy_reference,gid://shopify/TaxonomyValue/13
80216359083,ribbon-red,MERGE,Ribbon Red,,2024-07-09 10:10:55 -0600,shopify--color-pattern,Color,,50,pattern_taxonomy_reference,gid://shopify/TaxonomyValue/2874
87648239787,black-geo-print,MERGE,Black/Geo Print,,2024-07-12 13:12:14 -0600,shopify--color-pattern,Color,true,51,label,Black/Geo Print
