ID,Handle,Command,Title,Body HTML,Sort Order,Template Suffix,Updated At,Published,Published At,Published Scope,Image Src,Image Width,Image Height,Image Alt Text,Row #,Top Row,Product: ID,Product: Handle,Product: Position,Product: Command,Metafield: title_tag [string],Metafield: description_tag [string],Metafield: nogin.element_data [json],Metafield: nogin.layout [single_line_text_field],Metafield: custom.seo_description [rich_text_field],Metafield: ss_explosion [single_line_text_field],Metafield: plp.title [multi_line_text_field],Metafield: collection.banner_mobile [single_line_text_field],Metafield: collection.banner [single_line_text_field],Metafield: description_tag [multi_line_text_field],Metafield: title_tag [multi_line_text_field],Metafield: gendered_collection [string],Metafield: shogun.above [string],Metafield: shogun.below [string]
107351965784,frontpage,MERGE,Home page,,Best Selling,,2025-06-06 09:58:16 -0700,true,2019-04-29 16:26:47 -0700,global,,,,,1,true,,,,,,,"{""__id"":"""",""name"":""Home page"",""slug"":""frontpage"",""type"":""manual"",""__type"":""Collection"",""layout"":"""",""sortBy"":""best-selling"",""products"":[{""sourceId"":""2074990215256"",""productId"":""claixdqtn001082u67qii8r7i""}],""matchType"":""match_all"",""conditions"":[],""__elementId"":""claixliwo0sux82u626va87m9"",""description"":null,""hiddenProducts"":[],""collectionBanner"":[]}",clak8y3am00fjfuu64yr3972o,,,,,,,,,,
262898647128,gifts-for-him,MERGE,Gifts For Him,"<p>Gift gear he’ll actually use. Nathan’s Gifts for Him collection features hydration vests, handhelds, packs, safety lights, and cold-weather run accessories designed for long runs, marathon training, and winter miles.</p>",Price Descending,,2025-11-05 04:11:30 -0800,true,2021-10-21 10:58:15 -0700,global,,,,,2,true,8279362142296,pinnacle-pro-12-liter-hydration-race-vest,,MERGE,Gifts for Him | Best Running Gifts & Hydration by Nathan,,,,,TRUE,,,,,,,,
262898647128,gifts-for-him,MERGE,Gifts For Him,,Price Descending,,2025-11-05 04:11:30 -0800,true,2021-10-21 10:58:15 -0700,global,,,,,3,,8279461658712,pinnacle-pro-6-liter-hydration-race-vest,,MERGE,,,,,,,,,,,,,,
262898647128,gifts-for-him,MERGE,Gifts For Him,,Price Descending,,2025-11-05 04:11:30 -0800,true,2021-10-21 10:58:15 -0700,global,,,,,4,,7433405366360,vaporair-3-0-7-liter-hydration-pack,,MERGE,,,,,,,,,,,,,,
262898647128,gifts-for-him,MERGE,Gifts For Him,,Price Descending,,2025-11-05 04:11:30 -0800,true,2021-10-21 10:58:15 -0700,global,,,,,5,,8279531847768,pinnacle-breeze-4-liter-hydration-race-vest,,MERGE,,,,,,,,,,,,,,
262898647128,gifts-for-him,MERGE,Gifts For Him,,Price Descending,,2025-11-05 04:11:30 -0800,true,2021-10-21 10:58:15 -0700,global,,,,,6,,7548151234648,pinnacle-featherlite-1-5-liter-hydration-vest,,MERGE,,,,,,,,,,,,,,
262898647128,gifts-for-him,MERGE,Gifts For Him,,Price Descending,,2025-11-05 04:11:30 -0800,true,2021-10-21 10:58:15 -0700,global,,,,,7,,8441620365400,hypernight-quickstart-3-0-4-liter-hydration-pack,,MERGE,,,,,,,,,,,,,,
262898647128,gifts-for-him,MERGE,Gifts For Him,,Price Descending,,2025-11-05 04:11:30 -0800,true,2021-10-21 10:58:15 -0700,global,,,,,8,,8284595388504,quickstart-3-0-6-liter-hydration-pack,,MERGE,,,,,,,,,,,,,,
262898647128,gifts-for-him,MERGE,Gifts For Him,,Price Descending,,2025-11-05 04:11:30 -0800,true,2021-10-21 10:58:15 -0700,global,,,,,9,,8284753264728,quickstart-3-0-4-liter-soft-flask-hydration-pack,,MERGE,,,,,,,,,,,,,,
262898647128,gifts-for-him,MERGE,Gifts For Him,,Price Descending,,2025-11-05 04:11:30 -0800,true,2021-10-21 10:58:15 -0700,global,,,,,10,,8284636381272,quickstart-3-0-4-liter-hydration-pack,,MERGE,,,,,,,,,,,,,,
