Shopify Domain,Job ID,Sheet,Started At,Finished At,Duration,Seconds per Item,Exported,Column Groups,Columns,Filters
usbns.myshopify.com,557844510,Products,2025-11-05 13:28:01 -0800,2025-11-05 13:35:54 -0800,00:07:52,0.9,524,"Base, Category, Collections, Images, Variants, Inventory Levels, Metafields, Variant Metafields","ID, Handle, Command, Title, Body HTML, Vendor, Type, Tags, Tags Command, Created At, Updated At, Status, Published, Published At, Published Scope, Template Suffix, Gift Card, URL, Total Inventory Qty, Row #, Top Row, Category: ID, Category: Name, Category, Custom Collections, Smart Collections, Image Type, Image Src, Image Command, Image Position, Image Width, Image Height, Image Alt Text, Variant Inventory Item ID, Variant ID, Variant Command, Option1 Name, Option1 Value, Option2 Name, Option2 Value, Option3 Name, Option3 Value, Variant Position, Variant SKU, Variant Barcode, Variant Image, Variant Weight, Variant Weight Unit, Variant Price, Variant Compare At Price, Variant Taxable, Variant Tax Code, Variant Inventory Tracker, Variant Inventory Policy, Variant Fulfillment Service, Variant Requires Shipping, Variant Inventory Qty, Variant Inventory Adjust, Inventory Available: ..., Inventory Available Adjust: ..., Inventory On Hand: ..., Inventory On Hand Adjust: ..., Inventory Committed: ..., Inventory Reserved: ..., Inventory Damaged: ..., Inventory Damaged Adjust: ..., Inventory Safety Stock: ..., Inventory Safety Stock Adjust: ..., Inventory Quality Control: ..., Inventory Quality Control Adjust: ..., Inventory Incoming: ..., Metafield: ..., Variant Metafield: ...",
usbns.myshopify.com,557844510,Smart Collections,2025-11-05 13:35:54 -0800,2025-11-05 13:36:05 -0800,00:00:11,0.068,154,"Base, Rules, Metafields","ID, Handle, Command, Title, Body HTML, Sort Order, Template Suffix, Updated At, Published, Published At, Published Scope, Image Src, Image Width, Image Height, Image Alt Text, Row #, Top Row, Must Match, Rule: Product Column, Rule: Relation, Rule: Condition, Metafield: ...",
usbns.myshopify.com,557844510,Custom Collections,2025-11-05 13:36:05 -0800,2025-11-05 13:36:12 -0800,00:00:06,0.151,32,"Base, Linked Products, Metafields","ID, Handle, Command, Title, Body HTML, Sort Order, Template Suffix, Updated At, Published, Published At, Published Scope, Image Src, Image Width, Image Height, Image Alt Text, Row #, Top Row, Product: ID, Product: Handle, Product: Position, Product: Command, Metafield: ...",
usbns.myshopify.com,557844510,Pages,2025-11-05 13:36:12 -0800,2025-11-05 13:36:21 -0800,00:00:09,0.071,112,"Base, Metafields","ID, Handle, Command, Title, Body HTML, Created At, Updated At, Published, Published At, Template Suffix, Metafield: ...",
usbns.myshopify.com,557844510,Blog Posts,2025-11-05 13:36:21 -0800,2025-11-05 13:36:40 -0800,00:00:19,0.154,102,"Base, Blogs, Comments, Metafields","ID, Handle, Command, Title, Author, Body HTML, Summary HTML, Tags, Tags Command, Created At, Updated At, Published, Published At, Template Suffix, Image Src, Image Width, Image Height, Image Alt Text, Blog: ID, Blog: Handle, Blog: Title, Blog: Commentable, Blog: Feedburner URL, Blog: Feedburner Path, Blog: Template Suffix, Blog: Created At, Blog: Updated At, Row #, Top Row, Comment: ID, Comment: Author, Comment: Body, Comment: Body HTML, Comment: Email, Comment: Status, Comment: IP, Comment: Browser, Comment: Created At, Comment: Updated At, Comment: Published At, Comment: Command, Metafield: ...",
usbns.myshopify.com,557844510,Redirects,2025-11-05 13:36:40 -0800,2025-11-05 13:36:42 -0800,00:00:02,0.002,412,Base,"ID, Path, Command, Target",
usbns.myshopify.com,557844510,Metaobjects,2025-11-05 13:36:42 -0800,2025-11-05 13:36:44 -0800,00:00:02,0.266,3,"Base, Field Values","ID, Handle, Command, Display Name, Status, Updated At, Definition: Handle, Definition: Name, Top Row, Row #, Field, Value",
usbns.myshopify.com,557844510,Menus,2025-11-05 13:36:44 -0800,2025-11-05 13:36:53 -0800,00:00:09,0.386,21,"Base, Menu Items","ID, Handle, Command, Title, Is Default, Top Row, Row #, Menu Item: ID, Menu Item: Title, Menu Item: Command, Menu Item: Resource Type, Menu Item: Resource ID, Menu Item: Resource Handle, Menu Item: Collection Tags, Menu Item: URL, Menu Item: Parent ID, Menu Item: Parent Title, Menu Item: Position",
usbns.myshopify.com,557844510,Shop,2025-11-05 13:36:53 -0800,2025-11-05 13:36:55 -0800,00:00:01,0.852,1,"Base, Other Details, Metafields","Shopify Domain, Name, Created At, Updated At, Domain, Metafield: ...",
