ID,Path,Command,Target
312315543640,/products/speeddraw-plus-insulated-flask-red-dahlia,MERGE,/products/speeddraw-plus-insulated-flask#erid22539886
312315576408,/products/speedshot-plus-handheld-flask-black-metallic-gold,MERGE,/products/speedshot-plus-handheld-flask#erid22539888
312315609176,/products/speedshot-plus-insulated-flask-black-metallic-gold,MERGE,/products/speedshot-plus-handheld-flask#erid22539889
312315641944,/products/streak-reflective-vest,MERGE,/products/#erid4942855
312315674712,/products/streak-reflective-vest-yellow,MERGE,/products/#erid22539891
312315707480,/products/strobe-light-led-safety-light-clip-deep-blue,MERGE,/products/strobe-light-safety-led-light-clip#erid22539892
312315740248,/products/strobe-light-led-safety-light-clip-lime-punch-classic-green,MERGE,/products/strobe-light-safety-led-light-clip#erid22539893
312315773016,/products/strobe-light-led-safety-light-clip-lollipop-red-dahlia,MERGE,/products/strobe-light-safety-led-light-clip#erid22539894
312315805784,/products/strobe-light-led-safety-light-clip-magenta,MERGE,/products/strobe-light-safety-led-light-clip#erid22539895
312315838552,/products/strobe-light-led-safety-light-clip-ribbon-red,MERGE,/products/strobe-light-safety-led-light-clip#erid22539896
312315871320,/products/strobe-light-led-safety-light-clip-safety-yellow,MERGE,/products/strobe-light-safety-led-light-clip#erid22539897
312315904088,/products/strobe-light-led-safety-light-clip-vibrant-orange-tangerine-tango,MERGE,/products/strobe-light-safety-led-light-clip#erid22539898
312315936856,/products/summit-polarized-running-sunglasses-clear,MERGE,/products/summit-polarized-clear-running-sunglasses#erid22539899
312315314264,/products/saferrun-ripcord-siren-personal-alarm,MERGE,/products/saferrun-ripcord-siren-personal-alarm#erid22539877
312315379800,/products/speed-tab-low-cut-socks-bright-lime,MERGE,/products/speed-tab-low-cut-socks#erid22539880
312316002392,/products/summit-polarized-running-sunglasses-gray?nosto=categorypage-nosto-1&refSrc=7007806488664%2C7007849545816,MERGE,/products/summit-polarized-gray-running-sunglasses#erid22539901
312316067928,/products/terra-fire-300-r-hand-torch,MERGE,/collections/running-lights
312316100696,/products/terra-fire-400-rx-hand-torch,MERGE,/collections/running-lights
312316133464,/products/trailmix-12-liter-race-pack-astral-aura-purple,MERGE,/products/trailmix-12-liter-race-pack#erid22539906
312316166232,/products/trailmix-12-liter-race-pack-sailor-blue,MERGE,/products/trailmix-12-liter-race-pack#erid22539907
312316199000,/products/trailmix-7-liter-race-pack-black-sailor-blue,MERGE,/products/trailmix-7-liter-race-pack#erid22539908
312316231768,/products/trailmix-7-liter-race-pack-hibiscus-white,MERGE,/products/trailmix-7-liter-race-pack#erid22539909
312316297304,/products/trailmix-plus-hydration-belt-black-reflective-silver,MERGE,/products/trailmix-plus-hydration-belt#erid22539911
312316330072,/products/trailmix-plus-hydration-belt-storm-green-red,MERGE,/products/trailmix-plus-hydration-belt#erid22539912
312316362840,/products/trailmix-plus-insulated-hydration-belt,MERGE,/products/trailmix-plus-insulated-hydration-belt#erid22539913
312316395608,/products/trailmix-plus-insulated-hydration-belt-black-gold,MERGE,/products/trailmix-plus-insulated-hydration-belt#erid22539914
312316428376,/products/trailmix-plus-insulated-hydration-belt-vapor-grey-marine-blue,MERGE,/products/trailmix-plus-insulated-hydration-belt#erid22539915
312316461144,/products/vaporair-7l-2-0-hydration-pack-red-dahlia,MERGE,/products/vaporair-2-0-7-liter-hydration-pack#erid22539916
312316493912,/products/vaporair-7l-2-0-hydration-pack-vapor-grey-blue-me-away,MERGE,/products/vaporair-2-0-7-liter-hydration-pack#erid22539918
312316526680,/products/vaporairess-7l-2-0-womens-hydration-pack,MERGE,/products/vaporair-2-0-7-liter-hydration-pack#erid22539919
312316559448,/products/vaporairess-7l-2-0-womens-hydration-pack-black-shadow-lime,MERGE,/products/vaporair-2-0-7-liter-hydration-pack#erid22539920
312316592216,/products/vaporairess-7l-2-0-womens-hydration-pack-vapor-grey-finish-lime,MERGE,/products/vaporairess-2-0-7-liter-womens-hydration-pack-2-0#erid22539922
312316624984,/products/vaporairess-lite-4-liter-womens-hydration-vest,MERGE,/products/vaporairess-lite-4-liter-womens-hydration-vest#erid22539923
312316657752,/products/vaporhowe-12l-2-0-womens-race-vest,MERGE,/products/vaporhowe-2-0-12-liter-womens-race-vest#erid22539924
312316690520,/products/vaporhowe-4l-2-0-womens-race-vest,MERGE,/products/vaporhowe-4-liter-womens-race-vest#erid22539925
312316723288,/products/vaporhowe-waistpak,MERGE,/products/vaporhowe-womens-waist-pack#erid22539926
312316756056,/products/vaporkrar-4l-2-0-race-vest,MERGE,/products/vaporkrar-2-0-4-liter-race-vest#erid22539927
312316788824,/products/vaporkrar-4l-2-0-race-vest-black-mosstone,MERGE,/products/vaporkrar-2-0-4-liter-race-vest#erid22539928
312316821592,/products/vibe-reflective-safety-vest-cornflower-blue,MERGE,/products/vibe-reflective-vest#erid22539930
312316854360,/products/vibe-reflective-vest-vibrant-yellow,MERGE,/products/vibe-reflective-vest#erid22539933
312316887128,/products/womens-2-crossover-shorts-baja-purple,MERGE,/products/womens-crossover-shorts-2-0#erid22539934
312316919896,/products/womens-2-crossover-shorts-black,MERGE,/products/womens-crossover-shorts-2-0#erid22539935
312316952664,/products/womens-2-crossover-shorts-sailor-blue,MERGE,/products/womens-crossover-shorts-2-0#erid22539938
312316985432,/products/womens-2-front-runner-shorts-black,MERGE,/products/womens-front-runner-shorts#erid22539939
312317018200,/products/womens-2-front-runner-shorts-bright-teal,MERGE,/products/womens-front-runner-shorts#erid22539940
312317050968,/products/womens-2-front-runner-shorts-plum,MERGE,/products/womens-front-runner-shorts#erid22539941
312317083736,/products/womens-2-front-runner-shorts-sodalite-blue,MERGE,/products/womens-front-runner-shorts#erid22539942
312317116504,/products/womens-2-tempo-quarter-zip-long-sleeve-shirt-black,MERGE,/products/womens-tempo-quarter-zip-long-sleeve-shirt#erid22539943
312317149272,/products/womens-2-tempo-quarter-zip-long-sleeve-shirt-bright-teal,MERGE,/products/womens-tempo-quarter-zip-long-sleeve-shirt-2-1#erid22539944
312317182040,/products/womens-2-tempo-quarter-zip-long-sleeve-shirt-grey-mist,MERGE,/products/womens-tempo-quarter-zip-long-sleeve-shirt-2-2#erid22539945
312317214808,/products/womens-2-tempo-quarter-zip-long-sleeve-shirt-lilac-breeze,MERGE,/products/womens-tempo-quarter-zip-long-sleeve-shirt-2-3#erid22539946
312317247576,/products/womens-2-tempo-quarter-zip-long-sleeve-shirt-plum,MERGE,/products/womens-tempo-quarter-zip-long-sleeve-shirt-2-4#erid22539947
312317280344,/products/womens-2-tempo-quarter-zip-long-sleeve-shirt-sodalite-blue,MERGE,/products/womens-tempo-quarter-zip-long-sleeve-shirt-2-5#erid22539948
312317313112,/products/womens-3-front-runner-shorts-hot-pink,MERGE,/products/womens-front-runner-shorts#erid22539949
312317345880,/products/womens-3-front-runner-shorts-white,MERGE,/products/womens-front-runner-shorts#erid22539950
312317378648,/products/womens-crossover-shorts-baja-purple,MERGE,/products/womens-crossover-shorts#erid22539951
312317411416,/products/womens-crossover-tights-black,MERGE,/products/womens-crossover-tights#erid22539952
312317444184,/products/womens-crossover-tights-sailor-blue,MERGE,/products/womens-crossover-tights#erid22539953
312317476952,/products/womens-dash-long-sleeve-tee-black,MERGE,/products/womens-dash-long-sleeve-shirt#erid22539954
312317509720,/products/womens-dash-long-sleeve-tee-maroon,MERGE,/products/womens-dash-long-sleeve-shirt#erid22539955
312317542488,/products/womens-dash-long-sleeve-tee-sailor-blue,MERGE,/products/womens-dash-long-sleeve-shirt#erid22539956
312317575256,/products/womens-dash-long-sleeve-tee-sulfur,MERGE,/products/womens-dash-long-sleeve-shirt#erid22539958
312317608024,/products/womens-dash-short-sleeve-shirt-beach-glass,MERGE,/products/womens-dash-short-sleeve-shirt#erid22539959
312317640792,/products/womens-dash-short-sleeve-shirt-black,MERGE,/products/womens-dash-short-sleeve-shirt#erid22539960
312317673560,/products/womens-dash-short-sleeve-shirt-green-blue-slate,MERGE,/products/womens-dash-short-sleeve-shirt#erid22539961
312317706328,/products/womens-dash-short-sleeve-shirt-maroon,MERGE,/products/womens-dash-short-sleeve-shirt#erid22539962
312317739096,/products/womens-dash-short-sleeve-shirt-sailor-blue,MERGE,/products/womens-dash-short-sleeve-shirt#erid22539963
312317771864,/products/womens-dash-short-sleeve-shirt-sulfur,MERGE,/products/womens-dash-short-sleeve-shirt#erid22539964
